#Occurence	Espanol	English
3082	que	what
2509	no	no
2278	de	from
1653	a	to
1495	la	the
1422	lo	the
1328	y	y
1290	es	is
1197	el	he
1119	en	in
1033	un	a
1029	me	 me
828	por	by
809	qu	what
781	te	tea
754	s	s
702	una	a
605	con	with
584	i	I
562	ser	he
558	si	yes
546	bueno	good
533	pero	but
527	yo	I
462	mi	my
451	para	for
447	eso	that
424	los	the
413	bien	all right
391	ya	already
378	oh	oh
369	hola	hello
357	est	is
321	muy	very
321	ha	he has
316	como	as
302	las	the
299	aqu	here
293	he	he
291	le	you
280	oye	hears
271	tu	you
254	su	his
254	ah	ah
252	ms	ms
245	as	ace
244	al	to the
241	porque	why
239	vamos	come on
233	sabes	you know
227	tengo	I have
212	esta	this
211	del	of the
210	esto	this
203	cuando	when
202	t	t
201	nada	nothing
198	siento	feel
196	algo	something
181	quiero	I want
176	soy	I am
175	todo	all
175	estoy	I am
173	o	or
171	has	all
170	ahora	now
166	ests	these
160	puedo	may I
159	slo	slo
159	ross	
159	creo	
158	dios	
156	tiene	
156	gracias	
149	era	
147	tienes	
142	ser	
142	ella	
140	eres	
139	quieres	
139	este	
138	hacer	
134	voy	
130	dos	
128	mejor	
127	vez	
127	tan	
127	rachel	
126	ok	
125	phoebe	
124	verdad	
122	eh	
121	hay	
121	cmo	
118	estaba	
117	joey	
115	l	
113	ver	
113	vaya	
113	nos	
113	ese	
113	casa	
111	ir	
110	esa	
107	ti	
104	va	
104	noche	
102	pues	
102	cosas	
100	tambin	
100	nunca	
100	ni	
100	hasta	
99	mo	
98	mira	
98	fin	
97	entonces	
96	vas	
96	mnica	
96	fue	
96	espera	
96	claro	
95	mucho	
95	alguien	
93	genial	
92	son	
91	tipo	
91	hecho	
91	da	
91	chandler	
90	pasa	
90	favor	
87	parece	
87	hace	
86	decir	
85	todos	
85	otra	
81	haciendo	
80	vida	
80	puede	
80	dnde	
80	andy	
79	tal	
79	solo	
79	cario	
78	trabajo	
78	mis	
77	siempre	
77	aos	
75	uno	
75	sido	
75	luego	
75	cosa	
74	sin	
72	momento	
71	estar	
70	all	
69	puedes	
69	dicho	
68	sus	
66	seor	
65	mujer	
65	hombre	
65	antes	
64	vale	
64	m	
64	hablar	
64	crees	
63	umm	
63	gusta	
63	estas	
62	serio	
62	quin	
62	podra	
62	han	
62	desde	
62	chicos	
59	sea	
59	mismo	
59	amigos	
58	razn	
58	maana	
58	haba	
58	escucha	
57	quera	
57	otro	
56	tiempo	
56	mundo	
55	pasado	
55	les	
54	tenemos	
54	semana	
54	casi	
53	tanto	
53	quiere	
53	despus	
52	sr	
52	poco	
52	digo	
51	tener	
51	salir	
50	sobre	
49	tres	
49	tena	
49	hacerlo	
49	dice	
49	acuerdo	
48	mark	
48	estado	
48	contigo	
48	amigo	
47	vers	
47	importa	
46	mierda	
46	dijo	
45	nadie	
45	estn	
44	dufresne	
44	chico	
43	okay	
43	necesito	
43	mal	
42	fuera	
41	veras	
41	demasiado	
40	padre	
40	debera	
39	ves	
39	uh	
39	realmente	
39	nuevo	
39	nosotros	
39	conmigo	
39	caf	
39	cada	
39	alto	
39	adis	
38	supongo	
38	seguro	
38	lugar	
38	janice	
38	buena	
38	an	
37	veces	
37	unos	
37	saber	
37	miedo	
37	madre	
36	visto	
36	todas	
36	pete	
36	dices	
36	das	
36	chica	
36	cabeza	
36	alguna	
35	jugar	
35	esas	
35	cierto	
35	'	
34	volver	
34	okey	
34	menos	
34	gran	
34	entre	
34	deberas	
34	crea	
33	sabe	
33	idea	
33	estamos	
32	tus	
32	toda	
32	suerte	
32	sera	
32	primera	
32	nuestra	
32	haber	
32	dentro	
32	dejar	
31	telfono	
31	sitio	
31	quien	
31	primero	
31	mano	
31	hemos	
31	gente	
31	dejado	
30	resulta	
30	queda	
30	problema	
30	pasar	
30	pas	
30	mas	
30	increble	
30	importante	
30	creer	
30	cinco	
29	tampoco	
29	somos	
29	seguir	
29	persona	
29	llamado	
29	hey	
29	ellos	
29	amor	
28	to	
28	tarde	
28	podras	
28	parte	
28	horrible	
28	hizo	
28	haya	
28	fcil	
28	dije	
28	cuenta	
28	cama	
28	alcaide	
27	vivir	
27	viene	
27	ven	
27	ve	
27	significa	
27	red	
27	quizs	
27	odo	
27	nombre	
27	nmero	
27	loco	
27	ido	
27	iba	
27	hoy	
27	haces	
27	conseguir	
27	aunque	
26	viejo	
26	veo	
26	um	
26	trabajar	
26	prisin	
26	plan	
26	nuestro	
26	nico	
26	llama	
26	juntos	
26	espero	
26	buen	
25	venga	
25	uy	
25	saba	
25	puerta	
25	pienso	
25	pensar	
25	papel	
25	ningn	
25	llamar	
25	hice	
25	hermana	
25	grande	
25	fui	
25	estabas	
25	entiendo	
25	dime	
25	cul	
25	cual	
25	brooks	
24	venido	
24	van	
24	tienen	
24	tendr	
24	ma	
24	lista	
24	juego	
24	hora	
24	hijo	
24	gracioso	
24	dir	
24	biblioteca	
24	bastante	
23	rpido	
23	podemos	
23	pensando	
23	os	
23	falta	
23	dijiste	
23	debes	
23	deberamos	
23	culpa	
23	aquel	
23	ao	
23	algn	
23	acabo	
22	supuesto	
22	peor	
22	oportunidad	
22	mientras	
22	hablando	
22	feliz	
22	diga	
22	decirle	
22	chicas	
22	algunos	
21	vuelta	
21	venir	
21	sigue	
21	segundo	
21	saben	
21	rocas	
21	nono	
21	noches	
21	ninguna	
21	misma	
21	mensaje	
21	manera	
21	lado	
21	justo	
21	historia	
21	fuerte	
21	esos	
21	donde	
21	difcil	
21	dado	
21	anoche	
21	acab	
20	vosotros	
20	ustedes	
20	tommy	
20	plata	
20	perdona	
20	noo	
20	muchas	
20	minutos	
20	llevar	
20	irme	
20	idiota	
20	hagas	
20	hacen	
20	estos	
20	debo	
20	cunto	
20	cuatro	
20	cualquier	
20	buenos	
19	seis	
19	pueden	
19	posible	
19	pensado	
19	ojos	
19	lleva	
19	largo	
19	kate	
19	igual	
19	hago	
19	estupendo	
19	echo	
19	deja	
19	cigarrillos	
19	buenas	
19	ben	
18	vete	
18	unas	
18	tranquilo	
18	toma	
18	tenido	
18	simplemente	
18	semanas	
18	sale	
18	richard	
18	quedar	
18	quedado	
18	podramos	
18	paso	
18	par	
18	novia	
18	mes	
18	ltimo	
18	libre	
18	hayas	
18	har	
18	frank	
18	djame	
18	digas	
18	descanso	
18	dar	
18	corre	
18	comer	
18	coche	
18	cara	
18	ay	
18	ahh	
17	tomar	
17	shawshank	
17	ropa	
17	pone	
17	piso	
17	pierna	
17	pasando	
17	muerto	
17	llevo	
17	libros	
17	libro	
17	joven	
17	jams	
17	hijos	
17	hiciste	
17	haga	
17	gustara	
17	fiesta	
17	e	
17	debe	
17	cuidado	
17	cuesta	
17	clase	
17	cena	
17	cajas	
17	bing	
17	aun	
17	adelante	
16	zapatos	
16	voz	
16	vemos	
16	tonto	
16	tipos	
16	puesto	
16	primer	
16	poda	
16	pap	
16	ohh	
16	odio	
16	nuevos	
16	nio	
16	mala	
16	llegar	
16	listo	
16	hubiese	
16	forma	
16	exacto	
16	cundo	
16	cita	
16	cenar	
16	amiga	
16	adems	
15	trucha	
15	trata	
15	todava	
15	tocar	
15	sigo	
15	pueda	
15	pregunta	
15	podido	
15	personas	
15	novio	
15	nica	
15	maryangela	
15	manos	
15	libertad	
15	jo	
15	iy	
15	impuestos	
15	iandy	
15	hombres	
15	ftbol	
15	estuvo	
15	estpido	
15	encanta	
15	dao	
15	culo	
15	cerca	
15	carta	
15	basta	
15	atencin	
15	afuera	
14	wow	
14	vuelto	
14	verte	
14	usted	
14	tuyo	
14	tienda	
14	siente	
14	sabis	
14	sabas	
14	revlver	
14	resto	
14	quiera	
14	problemas	
14	preocupes	
14	pregunto	
14	poder	
14	pie	
14	pelo	
14	pedido	
14	ooh	
14	olvidar	
14	nios	
14	necesita	
14	mil	
14	imposible	
14	ila	
14	horas	
14	hadley	
14	existe	
14	exactamente	
14	esposa	
14	entiendes	
14	durante	
14	dormir	
14	dicen	
14	dejarlo	
14	cuanto	
14	cartas	
14	auto	
13	you	
13	vi	
13	veremos	
13	veamos	
13	tengas	
13	tenas	
13	siguiente	
13	robert	
13	relacin	
13	recuerdas	
13	quieras	
13	quedarme	
13	punto	
13	pedir	
13	or	
13	obra	
13	nueva	
13	noticia	
13	norton	
13	mujeres	
13	maldita	
13	llevas	
13	gunther	
13	geller	
13	fueron	
13	entrar	
13	elegir	
13	dio	
13	dems	
13	contra	
13	cielo	
13	cerveza	
13	carajo	
13	bonnie	
13	bao	
13	asi	
13	amante	
13	acuerdas	
13	acaba	
12	whoa	
12	vince	
12	trasero	
12	trabajando	
12	the	
12	terminado	
12	techo	
12	segura	
12	salido	
12	rehabilitado	
12	quisiera	
12	pudiera	
12	pronto	
12	podr	
12	podamos	
12	piqueta	
12	perfecto	
12	pens	
12	pase	
12	pasas	
12	palabra	
12	padres	
12	otras	
12	normal	
12	nooo	
12	monica	
12	mermelada	
12	media	
12	mdico	
12	luz	
12	luces	
12	llamada	
12	leche	
12	inocente	
12	ino	
12	hermanas	
12	habra	
12	habr	
12	habitacin	
12	fumar	
12	esperar	
12	especial	
12	espacio	
12	error	
12	enorme	
12	encantara	
12	empieza	
12	edad	
12	dlares	
12	dejo	
12	decirte	
12	debajo	
12	date	
12	cuello	
12	copa	
12	consigui	
12	conozco	
12	comprar	
12	comida	
12	ciento	
12	celdas	
12	celda	
12	caja	
12	caballo	
12	bonito	
12	bang	
12	alegro	
12	acabado	
11	your	
11	vuelva	
11	verlo	
11	toc	
11	tenis	
11	tendrs	
11	tema	
11	sientes	
11	sentido	
11	seguramente	
11	saliendo	
11	sal	
11	roto	
11	rey	
11	respuesta	
11	repente	
11	rato	
11	raro	
11	puta	
11	puntos	
11	preguntas	
11	perder	
11	pequea	
11	pared	
11	pantalones	
11	ow	
11	otros	
11	ocho	
11	negocio	
11	nariz	
11	michelle	
11	mat	
11	lucha	
11	ltima	
11	juro	
11	hermano	
11	hacerme	
11	hacemos	
11	haca	
11	hablado	
11	haberte	
11	guardias	
11	gratis	
11	ganas	
11	fuego	
11	excepto	
11	estara	
11	enseguida	
11	enfermera	
11	empezar	
11	duda	
11	dr	
11	divertido	
11	diciendo	
11	detrs	
11	derecha	
11	decidido	
11	deca	
11	culn	
11	contrario	
11	ciudad	
11	chloe	
11	cancin	
11	banco	
11	audicin	
11	asunto	
11	actor	
11	abogado	
10	zumo	
10	williams	
10	viaje	
10	ventana	
10	vctima	
10	vayas	
10	ud	
10	tuve	
10	triste	
10	tribbiani	
10	treinta	
10	tnel	
10	tenga	
10	ta	
10	susan	
10	suelo	
10	sorpresa	
10	siquiera	
10	siete	
10	sexo	
10	sentado	
10	seas	
10	sala	
10	recuerdo	
10	realidad	
10	rboles	
10	ququ	
10	queremos	
10	quedarte	
10	poema	
10	pensaba	
10	pena	
10	pelea	
10	pato	
10	parar	
10	pacfico	
10	orden	
10	ojal	
10	necesitas	
10	necesitamos	
10	navidad	
10	muri	
10	mirar	
10	mesa	
10	medio	
10	malo	
10	loca	
10	llegado	
10	llamas	
10	ladrn	
10	joe	
10	jason	
10	irte	
10	ies	
10	iel	
10	hoyo	
10	hmm	
10	hacia	
10	fro	
10	fondos	
10	fjate	
10	fila	
10	familia	
10	estbamos	
10	encontrar	
10	ellas	
10	dinero	
10	diez	
10	desnudo	
10	cree	
10	cortar	
10	correo	
10	conoces	
10	comprado	
10	biblia	
10	beso	
10	ayuda	
10	au	
10	aqui	
10	apetece	
10	andar	
10	algunas	
10	abuela	
10	absoluto	
10	abrir	
9	vuelvas	
9	vino	
9	viendo	
9	vendr	
9	utilizar	
9	tv	
9	tuviera	
9	traje	
9	tenia	
9	seria	
9	segn	
9	sacar	
9	sabemos	
9	rico	
9	rencoroso	
9	rastro	
9	puso	
9	prueba	
9	podrs	
9	pobre	
9	playa	
9	plato	
9	perdido	
9	parque	
9	ohhh	
9	oficina	
9	nonono	
9	nia	
9	morir	
9	molesta	
9	moda	
9	metros	
9	memoria	
9	maldito	
9	ledo	
9	jefe	
9	issac	
9	ipor	
9	intentando	
9	helado	
9	hayan	
9	hara	
9	hagan	
9	hablas	
9	guapo	
9	grave	
9	ginger	
9	galletas	
9	fuiste	
9	fra	
9	fondo	
9	final	
9	estaban	
9	especie	
9	escuchen	
9	escribir	
9	equipo	
9	encontrado	
9	encontr	
9	encantado	
9	empez	
9	dormitorio	
9	dmelo	
9	dira	
9	despacho	
9	dentista	
9	definitiva	
9	dale	
9	culpable	
9	cre	
9	conocido	
9	compaa	
9	cliente	
9	ciego	
9	cheque	
9	cambiar	
9	cambiado	
9	calzoncillos	
9	caliente	
9	buscar	
9	barbie	
9	balas	
9	ayudar	
9	arriba	
9	aniversario	
9	anda	
9	aire	
9	acaso	
8	zihuatanejo	
8	viejos	
8	vic	
8	vestido	
8	verla	
8	vayamos	
8	tranquila	
8	tiro	
8	terrible	
8	terminar	
8	tele	
8	taza	
8	tantos	
8	tanta	
8	suelta	
8	striptease	
8	strip	
8	sombrero	
8	simptico	
8	silln	
8	servicio	
8	rollo	
8	ro	
8	restaurante	
8	regalo	
8	refiero	
8	quedo	
8	quedas	
8	pollito	
8	perro	
8	perd	
8	pequeo	
8	pasara	
8	pasada	
8	pareja	
8	parado	
8	pantaln	
8	oigo	
8	nononono	
8	museo	
8	muros	
8	muere	
